Item Details, Code, Status,
Tomatoes : 1301 [BOX-10],1301, Active,
Jalapeno Slice : 1336 [CTN-8.4],1336, Active,
NA,1456, Inactive,Y
SOS Cheese : 1600A [CTN-1280], 1600A, Active,
Sauce Ketchup Tomato : 1761 [CTN - 13.2],1761, Active,
Pickles : 1787 [CTN-10.50],1787, Active,
Onion Rings Battered : 1880 [CTN- 355],1880, Active,
Liquid Oil : 1903A [BOX-13.80], 1903A, Active,
Angry Onions : 2084 [CTN-5440],2084, Active,
Flake : 2219 [CTN-5],2219, Active,
Ice Cream Cone (400) : 2803 [CTN-400],2803, Active,
Strawberry Popping Pearls : 2804 [CTN-9],2804, Active,
Passionfruit Popping Pearls : 2810 [CTN-9],2810, Active,
Pineapple Popping Pearls : 2811 [CTN-9],2811, Active,
Oreo Crumb : 2813 [KG-12],2813, Active,
Tortilla Flour 9 : 2963B [CTN - 192], 2963B, Active,
Bun Turkish : 2988 [CTN-60],2988, Active,
Slimline Paper Towels : 3264 [CTN-4830],3264, Active,
Multi Purpose Wipes (Blue) : 3504B [CTN-350], 3504B, Active,
Jumbo Toilet Rolls : 3509 [CTN-6],3509, Active,
Multi Purpose Wipes Yellow : 4323B [CTN-350], 4323B, Active,
Multi Purpose Wipes Green : 4324B [CTN-350], 4324B, Active,
Multi Purpose Wipes - Red : 4325B [CTN-350], 4325B, Active,
